,return,variance
0,0,0
1,0.012959033,0.089287368
2,0.006748701,0.077896698
3,0.007008152,0.081353246
4,0.011872334,0.073887113
5,0.013942222,0.066301817
6,0.011917093,0.094543008
7,0.017851334,0.078174298
8,0.010343507,0.066930626
9,0.013409987,0.077388489
10,0.015128638,0.089419012
11,0.016619076,0.090472001
12,0.013801012,0.091113891
13,0.015387433,0.084378608
14,0.014656683,0.081652816
15,0.01081895,0.096374545
16,0.015769619,0.087477435
17,0.016184891,0.07328196
18,0.023398658,0.06880173
19,0.010228471,0.083798679
20,0.019273373,0.080341645
21,0.016632406,0.095623669
22,0.013793892,0.08084283
23,0.014190404,0.06893697
24,0.016978176,0.095232329
25,0.016469982,0.091370808
26,0.010560534,0.078814585
27,0.011012207,0.082823436
28,0.015978936,0.071506732
29,0.016584535,0.084579084
30,0.015594106,0.086395292
31,0.009295201,0.062401459
32,0.017251161,0.080569509
33,0.012769884,0.081709305
34,0.015255089,0.085959162
35,0.015572201,0.064724175
36,0.016972506,0.095707792
37,0.019917431,0.09372254
38,0.016350816,0.077211256
39,0.015446874,0.087425613
40,0.018756862,0.055288024
41,0.012210482,0.081630007
42,0.014104631,0.08869518
43,0.010920556,0.084216673
44,0.009189767,0.06800346
45,0.015848091,0.098763161
46,0.015893344,0.079955141
47,0.016882611,0.079082117
48,0.016702124,0.089040191
49,0.001724604,0.015882909
50,0.008672824,0.030560885
51,0.013859555,0.094273207
52,0.011819512,0.088107894
53,0.013040392,0.098568073
54,0.01335664,0.087868092
55,0.013818329,0.092049191
56,0.008861057,0.095205073
57,0.016400967,0.069041028
58,0.009319014,0.085828344
59,0.016616433,0.098367
60,0.015031567,0.088707242
61,0.014250893,0.090934394
62,0.012023849,0.084775284
63,0.010793961,0.084184744
64,0.010792612,0.089341993
65,0.012944215,0.089031831
66,0.015537386,0.099593756
67,0.010138292,0.080810359
68,0.012706765,0.093204237
69,0.012817391,0.085399197
70,0.013464113,0.091469377
71,0.011504083,0.089665697
72,0.011654502,0.088162529
73,0.012755823,0.090973051
74,0.012552721,0.082655309
75,0.013542939,0.092947312
76,0.013899676,0.064942152
77,0.004876215,0.086267704
78,0.011336682,0.083077587
79,0.013010823,0.091607944
80,0.002671845,0.053121164
81,0.015140246,0.091843041
82,0.013910262,0.09396826
83,0.015554545,0.092408909
84,0.013947938,0.081820828
85,0.01522714,0.082896807
86,0.013965038,0.098354196
87,0.013660664,0.086294561
88,0.009763614,0.084324415
89,0.013364515,0.090247168
90,0.0147864,0.089011339
91,0.013789618,0.092234254
92,0.01020559,0.094071436
93,0.014090734,0.090881529
94,0.012504518,0.094432058
95,0.015329551,0.08517698
96,0.018521145,0.086362993
97,0.014156177,0.068443083
98,0.018522856,0.097680845
99,0.016428893,0.099215243
100,0.018414765,0.098573372
101,0.013213345,0.093599211
102,0.017788573,0.079396177
103,0.01619235,0.073477958
104,0.014654413,0.088283612
105,0.016736627,0.093333781
106,0.017336146,0.099436377
107,0.015127956,0.092365282
108,0.009484182,0.094882249
109,0.012032477,0.089194615
110,0.016161114,0.092509032
111,0.016925494,0.096871938
112,0.017064674,0.098947281
113,0.016536471,0.09616799
114,0.014395936,0.093554699
115,0.01965425,0.096733218
116,0.016601964,0.096912463
117,0.019362662,0.098071459
118,0.015817456,0.073194413
119,0.003970788,0.078154475
120,0.01826396,0.081876174
121,0.011959652,0.077257336
122,0.011400255,0.075252611
123,0.015499681,0.090680592
124,0.013704768,0.093174495
125,0.014811488,0.095569308
126,0.015665126,0.07891461
127,0.015429991,0.088374869
128,0.012198745,0.097337528
129,0.012548233,0.084458167
130,0.0116431,0.070934351
131,0.009193463,0.074778638
132,0.012635317,0.084987429
133,0.011769743,0.098621506
134,0.013209553,0.075734898
135,0.012669947,0.082531458
136,0.00912262,0.064367402
137,0.017778637,0.084263175
138,0.014920822,0.068198568
139,0.015516667,0.084905147
140,0.013041846,0.068930312
141,0.014250117,0.090721886
142,0.013226817,0.078807564
143,0.017922458,0.077807512
144,0.015538879,0.091549391
145,0.010390775,0.079772325
146,0.013189369,0.079175183
147,0.015435247,0.09839036
148,0.015317312,0.096944072
149,0.009105906,0.06923137
150,0.008724157,0.069293331
151,0.009256994,0.080805589
152,0.012341608,0.07723362
153,0.014970559,0.077930759
154,0.015575941,0.079696444
155,0.01402326,0.092071836
156,0.016590778,0.081176473
157,0.015285984,0.08023368
158,0.021382062,0.099896343
159,0.017520262,0.083955769
160,0.014824009,0.083247807
161,0.011051648,0.07400002
162,0.015612752,0.086704783
163,0.014884452,0.085910306
164,0.015728363,0.072901864
165,0.018155324,0.074723078
166,0.015234933,0.096936712
167,0.013809166,0.070598385
168,0.014134131,0.095294947
169,0.013797773,0.084131134
170,0.016878516,0.080936199
171,0.013481564,0.085332253
172,0.014330255,0.075998277
173,0.016108908,0.096940192
174,0.014433018,0.081178445
175,0.015219846,0.090660763
176,0.016983159,0.089696902
177,0.0185722,0.092103341
178,0.018839311,0.074436622
179,0.013994285,0.080415848
180,0.01379272,0.078849171
181,0.011054402,0.093558758
182,0.015651966,0.07154162
183,0.013390384,0.073268505
184,0.008621944,0.085289599
185,0.014105799,0.094777491
186,0.004910054,0.047434844
187,0.013600811,0.086123972
188,0.014953223,0.077340058
189,0.017311025,0.083372938
190,0.014776165,0.068937172
191,0.016630336,0.061517591
192,0.012533783,0.097784854
193,0.016893736,0.081101942
194,0.014278482,0.068238955
195,0.015007499,0.083379871
196,0.017919186,0.086610889
197,0.01850738,0.091678939
198,0.015914238,0.07115268
199,0.01149814,0.086583611
200,0.012845015,0.085698916
201,0.012079539,0.083165045
202,0.009388801,0.095470427
203,0.016583601,0.070254962
204,-0.003580479,0.055736395
205,0.01925106,0.091493792
206,0.018451922,0.092374815
207,0.009747344,0.031919395
208,0.014426038,0.087678166
209,0.013231427,0.094974362
210,0.014300186,0.095851236
211,0.014353823,0.069349669
212,0.019190561,0.08693309
213,0.013608715,0.084960078
214,0.016107734,0.068202582
215,0.019292274,0.08013421
216,0.008249755,0.073824533
217,0.017527673,0.0930893
218,0.014181986,0.0893913
219,0.016218621,0.081434154
220,0.014237561,0.060500403
221,0.019125648,0.097603807
222,0.013714795,0.083999956
223,0.017657812,0.085744219
224,0.009900395,0.033639955
225,0.012165137,0.076811596
226,0.011701681,0.085335959
227,0.01340451,0.096446614
228,0.018034311,0.08409509
229,0.01703545,0.074704344
230,0.016073545,0.081534705
231,0.014033302,0.093808287
232,0.014001373,0.087577802
233,0.014665796,0.090546755
234,0.013274772,0.092924273
235,0.015032884,0.082223697
236,0.018437712,0.086437205
237,0.013669767,0.093450841
238,0.018995166,0.095289426
239,0.013626432,0.089006198
240,0.016680976,0.09558119
241,0.015628181,0.079946555
242,0.014378679,0.092895056
243,0.012913629,0.086405941
244,0.012674394,0.077055389
245,0.013440856,0.065422634
246,0.012452709,0.078847079
247,0.014847884,0.097745125
248,0.014963689,0.082068477
249,0.017985376,0.097033323
250,0.010766698,0.081147049
251,0.013277909,0.086404242
252,0.00792439,0.08738169
253,0.016811912,0.070177395
254,0.018226138,0.084276608
255,0.015526884,0.076812244
256,0.01182163,0.097232451
257,0.019049339,0.086898609
258,0.01021771,0.07330282
259,0.013417065,0.076257397
260,0.010399736,0.063254841
261,0.015187484,0.077238426
262,0.016519831,0.089408215
263,0.015828798,0.089323726
264,0.015615045,0.097594273
265,0.003775768,0.083602901
266,0.016073226,0.08956182
267,0.017278272,0.094642323
268,0.013517604,0.083269468
269,0.014429613,0.085733165
270,0.016107907,0.085022059
271,0.009517139,0.082377807
272,0.019483915,0.08224084
273,0.008656146,0.083888134
274,0.012088365,0.079668514
275,0.018292729,0.084793182
276,0.019414956,0.080400665
277,0.019303863,0.076971672
278,0.018743119,0.076562181
279,0.016049621,0.091017193
280,0.014514318,0.087444078
281,0.014464875,0.064857497
282,0.013863707,0.098082869
283,0.019093307,0.085913584
284,0.016043142,0.084091359
285,0.014926914,0.083692509
286,0.013451443,0.081915139
287,0.013006796,0.094440254
288,0.01838258,0.098704628
289,0.013516597,0.085909447
290,0.015878666,0.08157489
291,0.017963714,0.086900446
292,0.017094298,0.088731472
293,0.017996097,0.086113017
294,0.011805443,0.083742232
295,0.015139063,0.099546674
296,0.012772097,0.073148131
297,0.009756391,0.087927498
298,0.015894241,0.097132297
299,-0.002225573,0.0172996
300,0.017418857,0.092004543
301,0.013750262,0.083908721
302,0.015082829,0.091590633
303,0.017554649,0.093752194
304,0.017947573,0.074941474
305,-0.002549057,0.041338765
306,0.018949117,0.09673264
307,0.016869756,0.074130399
308,0.014806923,0.085518464
309,0.016570458,0.072238526
310,0.015464334,0.093752283
311,0.016463999,0.092039098
312,0.019346174,0.092474656
313,0.016487291,0.086697746
314,0.015262917,0.095321613
315,0.014686377,0.09442664
316,0.013349492,0.08963178
317,0.017952865,0.092114881
318,0.018346927,0.083890079
319,0.016280418,0.098487093
320,0.016994916,0.087898437
321,0.015527006,0.092040526
322,0.015201203,0.088507555
323,0.014908767,0.086184782
324,0.01469996,0.077005946
325,0.016482285,0.092541649
326,0.016982818,0.089294134
327,0.021065516,0.089510037
328,0.017564864,0.076123546
329,-0.001759143,0.028528498
330,0.014504709,0.085188864
331,0.016081151,0.087919862
332,0.013569455,0.086096456
333,0.009514467,0.084188322
334,0.015462935,0.089952752
335,0.015807282,0.072732499
336,0.013526887,0.091778305
337,0.013012214,0.084273758
338,0.014179996,0.07434191
339,0.014310677,0.090531321
340,0.01381216,0.072926007
341,0.012780524,0.055191049
342,0.015025848,0.062331427
343,0.011784596,0.083706155
344,0.012146821,0.077492315
345,0.014258613,0.080385874
346,0.008278175,0.084703358
347,0.000601946,0.013904152
348,0.015211966,0.080436751
349,0.008317225,0.0911159
350,0.014251873,0.090046314
351,0.013030196,0.069433846
352,0.009171077,0.062066126
353,0.013547386,0.080424785
354,0.01890737,0.095261391
355,0.02045497,0.081806683
356,0.011266975,0.087816766
357,0.011692705,0.073098397
358,0.014580632,0.080738928
359,0.012788906,0.086799728
360,0.016152527,0.064628668
361,0.0145805,0.090075302
362,0.0101568,0.085726569
363,0.011596794,0.078707395
364,0.015006609,0.074189939
365,0.013172966,0.082637384
366,0.011614325,0.089727701
367,0.015017758,0.076223087
368,0.01623767,0.094581271
369,0.015520756,0.08004451
370,0.010016947,0.082026462
371,0.013840838,0.09364895
372,0.013286353,0.069273378
373,0.015240927,0.093145663
374,0.014831088,0.066870191
375,0.01570404,0.083284777
376,0.014513217,0.087018014
377,0.009664554,0.075188473
378,0.013660543,0.098439355
379,0.016097075,0.06887771
380,0.012551953,0.073143366
381,0.016691394,0.093080862
382,0.015778114,0.092686595
383,0.013499534,0.084423308
384,0.012714161,0.060180458
385,0.014137287,0.087392478
386,0.01362784,0.093510203
387,0.006244686,0.061096268
388,0.013146359,0.095769662
389,0.022052458,0.063187907
390,0.015954937,0.074096123
391,0.016519193,0.075684564
392,0.010151225,0.097162949
393,0.013400777,0.060726398
394,0.012096741,0.090613562
395,0.013266947,0.083459513
396,0.017107317,0.090805941
397,0.009335084,0.06036822
398,0.012826003,0.080543169
399,0.016559902,0.071135519
400,0.014185783,0.0743325
401,0.016909526,0.078011467
402,0.0144543,0.095645357
403,0.01029098,0.068301143
404,0.010137726,0.090623267
405,0.012170041,0.089493978
406,0.006891885,0.074383877
407,0.012884991,0.085389951
408,0.01448348,0.089680678
409,0.012476711,0.08918522
410,0.016468232,0.077150937
411,0.007436819,0.077357827
412,0.01018799,0.076177701
413,0.013603556,0.094845481
414,0.013366887,0.08543719
415,0.01046277,0.085635383
416,0.009093676,0.081577891
417,0.016522951,0.074846256
418,0.015239918,0.078278256
